name,category_list,funding_total_usd,status,country_code,funding_rounds,dias_hasta_inversion
AirInSpace,Biotechnology|Manufacturing,8500000.0,operating,FRA,1,
Airstrip Technologies,Health Care,65000000.0,operating,USA,4,2427.0
AirWare Lab,Biotechnology,250000.0,operating,USA,2,1301.0
Airway Therapeutics,Biotechnology,5100000.0,operating,USA,2,
AirXpanders,Biotechnology,60586207.0,operating,USA,12,362.0
AIS,Health Care Information Technology|Health Diagnostics|Medical,50000.0,operating,USA,1,
AIT,Biotechnology|Pharmaceuticals,1250000.0,operating,ISR,1,704.0
AIT Bioscience,Biotechnology,1000000.0,operating,USA,1,1832.0
Akadeum Life Sciences,Biotechnology,905063.0,operating,USA,1,589.0
AkaRx,Biotechnology,26100000.0,acquired,USA,5,233.0
Akebia Therapeutics,Biotechnology|Health Care,83100000.0,ipo,USA,4,988.0
Akermin,Biotechnology,21553364.0,operating,USA,7,1411.0
Akeso Biomedical,Biotechnology,760000.0,operating,USA,2,352.0
AkesoGenX,Health and Wellness|Medical Devices|Therapeutics,1514985.0,operating,USA,2,162.0
Akido Labs,Health Care,120000.0,operating,USA,1,30.0
Akonni Biosystems,Biotechnology|Health Diagnostics,40624513.0,operating,USA,10,
Akshay Wellness,Biotechnology,4566267.0,operating,USA,2,2470.0
AktiVax,Biotechnology,515252.0,operating,USA,2,1298.0
Ala-Septic,Biotechnology|Medical,0.0,operating,USA,1,-16.0
Alafair Biosciences,Biotechnology,2227000.0,operating,USA,4,-12.0
Alaunus,Health Care|Health Care Information Technology|Information Technology,30000.0,operating,CAN,1,1520.0
"Alavita Pharmaceuticals, Inc",Biotechnology,600000.0,operating,USA,1,1724.0
Albeado,Financial Services|Health Care|Insurance|Utilities,3000000.0,operating,USA,1,1943.0
Albert Medical Devices,Health Care,2239966.0,operating,GBR,3,
Albireo,Biotechnology,40000000.0,operating,SWE,1,
Alchemia Oncology,Biotechnology,1313760.0,operating,AUS,2,679.0
Alchemy Pharmatech,Health Care,621220.0,operating,GBR,1,
Alchemy Pharmatech Ltd.,Health Care,81837.0,operating,GBR,1,
Alchimedics,Biotechnology|Innovation Management|Medical,3286360.0,operating,FRA,1,
Alcidion Corporation,Health Care,1500000.0,operating,AUS,1,5567.0
Alcresta,Biotechnology,20000000.0,operating,USA,2,472.0
